2026-07-30 18:54:36,289 | INFO    | molsanity | [cell MUTAG__GINE__PGExplainer__scaffold] DONE — acc=0.75 gt_auroc=0.1084493937435114 n=20 (capped)
2026-07-30 18:54:36,295 | INFO    | molsanity | [stage cell_MUTAG__GINE__PGExplainer__random] running (514ec998fb07d481)
2026-07-30 18:54:36,348 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:54:36,395 | INFO    | molsanity | Loaded existing checkpoint gine_81524887c7adee3c.pt
2026-07-30 18:56:00,891 | INFO    | molsanity | PGExplainer trained on 150 graphs (30 epochs), final loss 0.7419
2026-07-30 18:56:50,602 | INFO    | molsanity | PGExplainer trained on 150 graphs (30 epochs), final loss 0.3154
2026-07-30 18:56:51,664 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__PGExplainer__random/gt_validation.pdf (+ .svg)
2026-07-30 18:56:51,676 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__PGExplainer__random/case_molecule.svg (GT atoms: [17, 18, 19])
2026-07-30 18:56:51,714 | INFO    | molsanity | [cell MUTAG__GINE__PGExplainer__random] DONE — acc=0.55 gt_auroc=1.0 n=20 (capped)
2026-07-30 18:56:51,718 | INFO    | molsanity | [stage cell_MUTAG__GCN__IntegratedGradients__scaffold] running (595ceb6d48b66afa)
2026-07-30 18:56:51,746 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:56:52,019 | INFO    | molsanity | Scaffold split: 52 scaffolds -> train 150 / val 18 / test 20
2026-07-30 18:56:52,695 | INFO    | molsanity | Loaded existing checkpoint gcn_d9216bef68cf8971.pt
2026-07-30 18:57:11,187 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GCN__IntegratedGradients__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:57:11,197 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GCN__IntegratedGradients__scaffold/case_molecule.svg (GT atoms: [14, 15, 16])
2026-07-30 18:57:11,244 | INFO    | molsanity | [cell MUTAG__GCN__IntegratedGradients__scaffold] DONE — acc=0.35 gt_auroc=0.9504616298733947 n=20 (capped)
2026-07-30 18:57:11,250 | INFO    | molsanity | [stage cell_MUTAG__GCN__IntegratedGradients__random] running (d36d270e44466607)
2026-07-30 18:57:11,297 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:57:11,727 | INFO    | molsanity | Loaded existing checkpoint gcn_604a180f83e0893f.pt
2026-07-30 18:57:29,938 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GCN__IntegratedGradients__random/gt_validation.pdf (+ .svg)
2026-07-30 18:57:29,949 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GCN__IntegratedGradients__random/case_molecule.svg (GT atoms: [17, 18, 19])
2026-07-30 18:57:29,985 | INFO    | molsanity | [cell MUTAG__GCN__IntegratedGradients__random] DONE — acc=0.65 gt_auroc=0.16935581439257907 n=20 (capped)
2026-07-30 18:57:29,989 | INFO    | molsanity | [stage cell_MUTAG__GAT__IntegratedGradients__scaffold] running (e581b4cd2b42da4b)
2026-07-30 18:57:30,019 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:57:30,274 | INFO    | molsanity | Scaffold split: 52 scaffolds -> train 150 / val 18 / test 20
2026-07-30 18:57:30,861 | INFO    | molsanity | Loaded existing checkpoint gat_2224546572f492f6.pt
2026-07-30 18:57:59,831 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GAT__IntegratedGradients__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:57:59,842 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GAT__IntegratedGradients__scaffold/case_molecule.svg (GT atoms: [14, 15, 16])
2026-07-30 18:57:59,880 | INFO    | molsanity | [cell MUTAG__GAT__IntegratedGradients__scaffold] DONE — acc=0.75 gt_auroc=0.4199902167549226 n=20 (capped)
